15xxxxxx7,ESH,MM B.Tech,7.39,GE,CS B.Tech,EE B.Tech,ME B.Tech,EE Dual Deg E1,EE Dual Deg E2,ME Dual Deg M2,EN Dual Deg,,,,,,,,
15xxxxxx3,ETE,ME B.Tech,9.09,GE,CS B.Tech,EE B.Tech,,,,,,,,,,,,,
15xxxxxx8,ETH,CE B.Tech,8.71,GE,CS B.Tech,EE B.Tech,EE Dual Deg E1,EE Dual Deg E2,ME B.Tech,ME Dual Deg M2,,,,,,,,,
15xxxxxx3,EYA,CL B.Tech,8.49,GE,CS B.Tech,EE B.Tech,EE Dual Deg E1,,,,,,,,,,,,
15xxxxxx8,HAH,EE Dual Deg E1,9.07,GE,EE B.Tech,,,,,,,,,,,,,,
15xxxxxx2,HAH,MM Dual Deg Y1,8.7,GE,ME B.Tech,ME Dual Deg M2,EP B.Tech,EE B.Tech,EE Dual Deg E2,EE Dual Deg E1,EN Dual Deg,CE B.Tech,AE B.Tech,MM B.Tech,EP Dual Deg N1,CL B.Tech,,,
15xxxxxx2,HAH,EN Dual Deg,8.38,GE,CS B.Tech,EE B.Tech,EE Dual Deg E1,EE Dual Deg E2,,,,,,,,,,,
15xxxxxx5,HAH,MM B.Tech,7.86,GE,CS B.Tech,EE B.Tech,ME B.Tech,CL B.Tech,CE B.Tech,,,,,,,,,,
15xxxxxx5,HAK,MM B.Tech,9,GE,CS B.Tech,EE B.Tech,EE Dual Deg E2,EE Dual Deg E1,,,,,,,,,,,
15xxxxxx6,HAL,MM B.Tech,7.78,GE,CS B.Tech,EE B.Tech,EE Dual Deg E1,EE Dual Deg E2,ME B.Tech,CL B.Tech,,,,,,,,,
15xxxxxx5,HAN,CH,8.48,GE,EE B.Tech,EE Dual Deg E2,EE Dual Deg E1,ME B.Tech,ME Dual Deg M2,CL B.Tech,CE B.Tech,MM B.Tech,EN Dual Deg,AE B.Tech,MM Dual Deg Y2,MM Dual Deg Y1,,,
15xxxxxx7,HAN,CE B.Tech,8.45,GE,CS B.Tech,EE B.Tech,EE Dual Deg E2,EE Dual Deg E1,ME B.Tech,,,,,,,,,,
15xxxxxx7,HAN,MM B.Tech,7.7,GE,CS B.Tech,EE B.Tech,EE Dual Deg E2,EE Dual Deg E1,ME B.Tech,CE B.Tech,CL B.Tech,EN Dual Deg,EP B.Tech,EP Dual Deg N1,AE B.Tech,,,,
15xxxxxx3,HAR,EE B.Tech,9.95,GE,CS B.Tech,,,,,,,,,,,,,,
15xxxxxx0,HEN,MM B.Tech,8.22,GE,CS B.Tech,EE B.Tech,ME B.Tech,EE Dual Deg E2,ME Dual Deg M2,,,,,,,,,,
15xxxxxx6,HIR,CL B.Tech,8.14,GE,ME B.Tech,ME Dual Deg M2,,,,,,,,,,,,,
15xxxxxx1,HIR,CH,8.1,GE,CS B.Tech,EE B.Tech,ME B.Tech,EE Dual Deg E2,EE Dual Deg E1,ME Dual Deg M2,CE B.Tech,CL B.Tech,AE B.Tech,EP B.Tech,EP Dual Deg N1,EN Dual Deg,,,
15xxxxxx2,HMA,EE Dual Deg E2,9.09,GE,CS B.Tech,EE B.Tech,,,,,,,,,,,,,
15xxxxxx3,HNA,EE B.Tech,9.53,GE,CS B.Tech,,,,,,,,,,,,,,
15xxxxxx7,HRA,ME B.Tech,8.99,GE,CS B.Tech,EE B.Tech,,,,,,,,,,,,,
15xxxxxx1,HRY,EE Dual Deg E1,9.57,GE,CS B.Tech,EE B.Tech,EE Dual Deg E2,,,,,,,,,,,,
